State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Telangana,RANGAREDDI,Castor seed,,Kharif,592,Hectare,304,Tonnes,0.513513514
Telangana,WARANGAL,Castor seed,,Kharif,476,Hectare,258,Tonnes,0.542016807
Telangana,WARANGAL,Castor seed,,Kharif,339,Hectare,149,Tonnes,0.439528024
Telangana,WARANGAL,Castor seed,,Kharif,352,Hectare,77,Tonnes,0.21875
Telangana,KHAMMAM,Coconut,,Whole Year,426,Hectare,6924204,Nuts,16254
Telangana,KHAMMAM,Coconut,,Whole Year,437,Hectare,9222885,Nuts,21105
Telangana,RANGAREDDI,Coconut,,Whole Year,2,Hectare,32508,Nuts,16254
Telangana,RANGAREDDI,Coconut,,Whole Year,2,Hectare,42210,Nuts,21105
Telangana,ADILABAD,Coriander,,Whole Year,283,Hectare,203,Tonnes,0.717314488
Telangana,ADILABAD,Coriander,,Whole Year,898,Hectare,215,Tonnes,0.239420935
Telangana,ADILABAD,Coriander,,Rabi,565,Hectare,192,Tonnes,0.339823009
Telangana,KARIMNAGAR,Coriander,,Whole Year,27,Hectare,19,Tonnes,0.703703704
Telangana,KARIMNAGAR,Coriander,,Whole Year,15,Hectare,4,Tonnes,0.266666667
Telangana,KARIMNAGAR,Coriander,,Rabi,8,Hectare,3,Tonnes,0.375
Telangana,MEDAK,Coriander,,Whole Year,471,Hectare,337,Tonnes,0.715498938
Telangana,MEDAK,Coriander,,Whole Year,288,Hectare,69,Tonnes,0.239583333
Telangana,MEDAK,Coriander,,Rabi,137,Hectare,52,Tonnes,0.379562044
Telangana,NALGONDA,Coriander,,Whole Year,231,Hectare,165,Tonnes,0.714285714
Telangana,NALGONDA,Coriander,,Whole Year,135,Hectare,32,Tonnes,0.237037037
Telangana,NALGONDA,Coriander,,Rabi,117,Hectare,28,Tonnes,0.239316239
Telangana,NIZAMABAD,Coriander,,Whole Year,265,Hectare,190,Tonnes,0.716981132
Telangana,NIZAMABAD,Coriander,,Whole Year,205,Hectare,49,Tonnes,0.23902439
Telangana,NIZAMABAD,Coriander,,Kharif,11,Hectare,8,Tonnes,0.727272727
Telangana,NIZAMABAD,Coriander,,Rabi,125,Hectare,89,Tonnes,0.712
Telangana,RANGAREDDI,Coriander,,Whole Year,79,Hectare,48,Tonnes,0.607594937
Telangana,RANGAREDDI,Coriander,,Whole Year,18,Hectare,4,Tonnes,0.222222222
Telangana,RANGAREDDI,Coriander,,Rabi,13,Hectare,5,Tonnes,0.384615385
Telangana,WARANGAL,Coriander,,Whole Year,22,Hectare,16,Tonnes,0.727272727
Telangana,WARANGAL,Coriander,,Whole Year,38,Hectare,9,Tonnes,0.236842105
Telangana,WARANGAL,Coriander,,Rabi,33,Hectare,13,Tonnes,0.393939394
Telangana,ADILABAD,Cotton(lint),,Kharif,302845,Hectare,657994,Bales,2.172708811
Telangana,ADILABAD,Cotton(lint),,Kharif,304424,Hectare,573033,Bales,1.882351589
Telangana,ADILABAD,Cotton(lint),,Kharif,336448,Hectare,838679,Bales,2.492744793
Telangana,KARIMNAGAR,Cotton(lint),,Kharif,231378,Hectare,669212,Bales,2.892288809
Telangana,KARIMNAGAR,Cotton(lint),,Kharif,214586,Hectare,585694,Bales,2.729413848
